,seen Star Wars ,Star Wars fan?,Seen I,Seen II,Seen III,Seen IV,Seen V,Seen VI,Rank I,Rank II,Rank III,Rank IV,Rank V,Rank VI,Star Trek Fan,Gender,Age,Household Income,Education,Location (Census Region)
1,Yes,Yes,Star Wars: Episode I  The Phantom Menace,Star Wars: Episode II  Attack of the Clones,Star Wars: Episode III  Revenge of the Sith,Star Wars: Episode IV  A New Hope,Star Wars: Episode V The Empire Strikes Back,Star Wars: Episode VI Return of the Jedi,3.0,2.0,1.0,4.0,5.0,6.0,No,Male,18-29,,High school degree,South Atlantic
2,No,,,,,,,,,,,,,,Yes,Male,18-29,"$0 - $24,999",Bachelor degree,West South Central
3,Yes,No,Star Wars: Episode I  The Phantom Menace,Star Wars: Episode II  Attack of the Clones,Star Wars: Episode III  Revenge of the Sith,,,,1.0,2.0,3.0,4.0,5.0,6.0,No,Male,18-29,"$0 - $24,999",High school degree,West North Central
4,Yes,Yes,Star Wars: Episode I  The Phantom Menace,Star Wars: Episode II  Attack of the Clones,Star Wars: Episode III  Revenge of the Sith,Star Wars: Episode IV  A New Hope,Star Wars: Episode V The Empire Strikes Back,Star Wars: Episode VI Return of the Jedi,5.0,6.0,1.0,2.0,4.0,3.0,Yes,Male,18-29,"$100,000 - $149,999",Some college or Associate degree,West North Central
5,Yes,Yes,Star Wars: Episode I  The Phantom Menace,Star Wars: Episode II  Attack of the Clones,Star Wars: Episode III  Revenge of the Sith,Star Wars: Episode IV  A New Hope,Star Wars: Episode V The Empire Strikes Back,Star Wars: Episode VI Return of the Jedi,5.0,4.0,6.0,2.0,1.0,3.0,No,Male,18-29,"$100,000 - $149,999",Some college or Associate degree,West North Central
6,Yes,Yes,Star Wars: Episode I  The Phantom Menace,Star Wars: Episode II  Attack of the Clones,Star Wars: Episode III  Revenge of the Sith,Star Wars: Episode IV  A New Hope,Star Wars: Episode V The Empire Strikes Back,Star Wars: Episode VI Return of the Jedi,1.0,4.0,3.0,6.0,5.0,2.0,Yes,Male,18-29,"$25,000 - $49,999",Bachelor degree,Middle Atlantic
7,Yes,Yes,Star Wars: Episode I  The Phantom Menace,Star Wars: Episode II  Attack of the Clones,Star Wars: Episode III  Revenge of the Sith,Star Wars: Episode IV  A New Hope,Star Wars: Episode V The Empire Strikes Back,Star Wars: Episode VI Return of the Jedi,6.0,5.0,4.0,3.0,1.0,2.0,No,Male,18-29,,High school degree,East North Central
8,Yes,Yes,Star Wars: Episode I  The Phantom Menace,Star Wars: Episode II  Attack of the Clones,Star Wars: Episode III  Revenge of the Sith,Star Wars: Episode IV  A New Hope,Star Wars: Episode V The Empire Strikes Back,Star Wars: Episode VI Return of the Jedi,4.0,5.0,6.0,3.0,2.0,1.0,Yes,Male,18-29,,High school degree,South Atlantic
9,Yes,Yes,Star Wars: Episode I  The Phantom Menace,Star Wars: Episode II  Attack of the Clones,Star Wars: Episode III  Revenge of the Sith,Star Wars: Episode IV  A New Hope,Star Wars: Episode V The Empire Strikes Back,Star Wars: Episode VI Return of the Jedi,5.0,4.0,6.0,2.0,1.0,3.0,No,Male,18-29,"$0 - $24,999",Some college or Associate degree,South Atlantic
10,Yes,No,,Star Wars: Episode II  Attack of the Clones,,,,,1.0,2.0,3.0,4.0,5.0,6.0,No,Male,18-29,"$25,000 - $49,999",Some college or Associate degree,Pacific
